label,Popolazione totale
2021,12671469
2020,12587530
2019,12667017
2018,12724685
2017,12779893
2016,12821709
2015,12859585
2014,12885092
2013,12895778
2012,12883029
2011,12867783
2010,12840545
2009,12796778
2008,12747038
2007,12695866
2006,12643955
2005,12609903
2004,12589773
2003,12556006
2002,12525556
2001,12488445
2000,12434161
1999,12128370
1998,12069774
1997,12011509
1996,11953003
1995,11884935
1994,11804986
1993,11725984
1992,11635197
1991,11535973
1990,11446979
1989,11409782
1988,11390183
1987,11391178
1986,11387257
1985,11399806
1984,11412132
1983,11408818
1982,11423412
1981,11443458
1980,11426518
1979,11396837
1978,11412561
1977,11386316
1976,11342853
1975,11291743
1974,11262145
1973,11251367
1972,11251948
1971,11202397
1970,11110285
1969,11039000
1968,10995000
1967,10947000
1966,10836000
1965,10693000
1964,10580000
1963,10402000
1962,10280000
1961,10130000
1960,10086000
1959,9986000
1958,9886000
1957,9668000
1956,9530000
1955,9435000
1954,9252000
1953,9065000
1952,8956000
1951,8790000
1950,8738000
1949,8670000
1948,8552000
1947,8341000
1946,8155000
1945,7601000
1944,7719000
1943,7761000
1942,8057000
1941,7995000
1940,7905000
1939,7890000
1938,7866000
1937,7857000
1936,7840000
1935,7797000
1934,7772000
1933,7768000
1932,7736000
1931,7687000
1930,7644000
1929,7606000
1928,7576000
1927,7519000
1926,7395000
1925,7306000
1924,7215000
1923,7068000
1922,6958000
1921,6858000
1920,6663000
1919,6392000
1918,6275000
1917,6313000
1916,6274000
1915,6194000
1914,6109000
1913,5961000
1912,5828000
1911,5757000
1910,5668000
1909,5567000
1908,5474000
1907,5384000
1906,5309000
1905,5241000
1904,5161000
1903,5071000
1902,4992000
1901,4914000
1900,4828000